ID	drugs	transporters	targets	enzymes	carriers	groups
DB00660	Metaxalone					approved
DB00661	Verapamil	SLCO1B1;ABCG2;ABCB11;SLC22A4;SLC22A5;ABCB1;SLC22A1;SLCO1A2;ABCC4;ABCC2;ABCC1;ABCC10;ABCC3	ADRA1A;CACNA1I;KCNJ11;SCN5A;ADRA1D;KCNH2;CACNB3;CACNB2;CACNB1;CACNA1C;CACNA1D;CACNA1F;CACNB4;ADRA1B;CACNA1A;SLC6A4;CACNA1S;CACNA1B;CACNA1G	CYP2C9;CYP2C8;CYP1A2;CYP2D6;CYP2B6;CYP2C19;CYP2C18;CYP3A7;CYP3A4;CYP3A5		approved
DB00662	Trimethobenzamide					investigational;approved
DB00663	Flumethasone		NR3C1		SERPINA6	approved;vet_approved
DB00664	Sulfametopyrazine					approved;withdrawn
DB00665	Nilutamide		AR	CYP2C9;CYP2C19;POR;CYP2C8		investigational;approved
DB00666	Nafarelin		GNRHR;GNRHR2			approved
DB00668	Epinephrine	SLC22A5;SLC22A1;SLC22A2	ADRA1A;ADRA1B;ADRA1D;SOD1;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;PAH;TNF	CYP2C9;CYP1A2;CYP3A4		approved;vet_approved
DB00669	Sumatriptan	SLCO1B1;ABCB1;ABCG2;SLCO1A2	HTR1D;HTR1F;HTR1A;HTR1B	MAOA		investigational;approved
DB00670	Pirenzepine		CHRM1			approved
DB00671	Cefixime	SLC15A2;SLC22A5;SLC15A1	mrdA			investigational;approved
DB00672	Chlorpropamide	SLC15A2;ABCB1;SLC15A1;SLC22A6	ABCC8	CYP2C9;PTGS1;CYP2C19		investigational;approved
DB00673	Aprepitant		TACR1	CYP2C9;CYP1A2;CYP2C19;CYP3A7;CYP3A4;CYP3A5		investigational;approved
DB00674	Galantamine		CHRNB2;CHRNA2;CHRNB1;CHRNB3;CHRNA3;CHRNB4;CHRNA10;CHRNA4;CHRNA5;CHRNA6;CHRNA7;BCHE;CHRNA1;CHRND;CHRNE;ACHE;CHRNA9;CHRNG	CYP3A4;CYP2D6		approved
DB00675	Tamoxifen	ABCB11;ABCB1;ABCG2;ABCC2	ESRRG;ESR2;KCNH2;PRKCA;ESR1;SHBG;NR1I2;AR;EBP	CYP2C9;CYP1A1;CYP1A2;FMO1;CYP1B1;UGT1A10;CYP2D6;FMO3;SULT1A1;CYP19A1;CYP2B6;CYP2E1;CYP2C8;CES1;CYP2C19;CYP2A6;CYP3A7;CYP3A4;CYP3A5		approved
DB00676	Benzyl Benzoate					approved
DB00677	Isoflurophate		TF;ACHE;BCHE	BCHE	ALB	investigational;approved;withdrawn
DB00678	Losartan	ABCB1;SLC22A12;SLC22A6;SLC2A9	AGTR1	CYP2C9;CYP2C8;CYP1A2;UGT1A10;UGT2B7;UGT2B17;CYP2C19;CYP3A4;CYP3A5;UGT1A1;UGT1A3	ALB	approved
DB00679	Thioridazine		ADRA1A;ADRA1B;KCNH2;DRD2;DRD1;HTR2A	CYP2C9;CYP2C8;CYP1A2;CYP2D6;CYP2E1;CYP2C19		approved;withdrawn
DB00680	Moricizine		SCN5A			investigational;approved;withdrawn
DB00681	Amphotericin B					investigational;approved
DB00682	Warfarin		NR1I2;VKORC1	CYP2C9;CYP2C8;CYP1A2;CYP1A1;CYP2C19;CYP2C18;CYP3A4	ALB;ORM1	approved
DB00683	Midazolam	ABCB1;SLC22A1	GABRR1;GABRA6;GABRG3;GABRG2;GABRG1;GABRR3;GABRQ;GABRP;GABRD;GABRE;GABRB1;GABRA5;GABRA4;GABRB2;GABRB3;GABRA1;GABRR2;GABRA3;GABRA2	CYP2B6;CYP4B1;CYP2E1;UGT1A4;CYP3A7;CYP3A4;CYP3A5		illicit;approved
DB00684	Tobramycin		rpsL	aac		investigational;approved
DB00685	Trovafloxacin		TOP2A;parC;gyrA			investigational;approved;withdrawn
DB00686	Pentosan Polysulfate		FGF4;FGF2;FGF1			approved
DB00687	Fludrocortisone		NR3C2;NR3C1;AR			investigational;approved
DB00688	Mycophenolate mofetil	SLCO1B1;SLCO1B3;ABCG2;ABCC2;ABCB1	IMPDH1;IMPDH2	UGT2B7;CYP3A5;UGT1A10;CYP2C8;CYP3A4;CES1;CES2;UGT1A8;UGT1A9;UGT1A6;UGT1A7;UGT1A1	ALB	investigational;approved
DB00689	Cephaloglycin	SLC22A5				approved
DB00690	Flurazepam	ABCB1;SLC22A2	GABRR1;GABRB3;GABRG3;GABRG2;GABRG1;GABRR3;GABRQ;GABRP;GABRD;GABRE;GABRB1;GABRA5;GABRA4;GABRB2;GABRA6;GABRA1;GABRR2;GABRA3;GABRA2	CYP3A4;CYP2A6;CYP2E1		illicit;investigational;approved
DB00691	Moexipril	SLC15A2;SLC15A1	ACE2;ACE			approved
DB00692	Phentolamine		ADRA1A;ADRA1B;ADRA2A;ADRA1D			approved
DB00693	Fluorescein	SLC22A6;ABCB11;ABCC1		CYP1A1		approved
DB00694	Daunorubicin	ABCG2;ABCB11;ABCB1;ABCC10;SLC22A2;ABCC6;ABCC1;ABCC2	TOP2B;TOP2A	CYP1A1;CYP1A2;CYP1B1;POR;XDH;CYP3A4;CYP3A5		approved
DB00695	Furosemide	SLCO2A1;SLC22A11;SLC22A5;SLC22A6;SLC22A8;ABCC2	CA2;SLC12A1	PGD	ALB	approved;vet_approved
DB00696	Ergotamine	ABCB1	ADRA1A;SLC6A2;ADRA1B;ADRA1D;DRD2;ADRA2A;ADRA2B;DRD1;HTR2A;HTR2C;HTR2B;HTR1D;HTR1F;HTR1A;HTR1B	CYP3A4;CYP1A2		approved
DB00697	Tizanidine		NISCH;ADRA2A;ADRA2B;ADRA2C	CYP1A2		investigational;approved
DB00698	Nitrofurantoin	ABCG2	nfsA;ydbK;rpsJ	POR		approved;vet_approved
DB00699	Nicergoline		ADRA1A	CYP2D6		investigational;approved
DB00700	Eplerenone		NR3C2	CYP3A7;CYP3A4;CYP3A5;CYP11B2		approved
DB00701	Amprenavir	ABCB1;ABCC1	pol	CYP2C9;CYP2C8;CYP2D6;CYP2B6;CYP2C19;CYP3A4;CYP3A5		investigational;approved
DB00702	Icodextrin			AMY2A		investigational;approved
DB00703	Methazolamide	SLC22A6	CA3;CA2;CA1;CA7;CA4	CYP2C9;CYP3A4;CYP2C19;CYP2E1;CYP2D6		approved
DB00704	Naltrexone	ABCB1	OPRK1;OPRM1;OPRD1;SIGMAR1	UGT1A1		investigational;approved;vet_approved
DB00705	Delavirdine		pol	CYP2C9;CYP2C8;CYP1A2;CYP2D6;CYP2C19;CYP3A7;CYP3A4;CYP3A5		approved
DB00706	Tamsulosin		ADRA1A;ADRA1B;ADRA1D	CYP3A4;CYP2D6	ORM1	investigational;approved
DB00707	Porfimer sodium		LDLR;FCGR1A			investigational;approved
DB00708	Sufentanil		OPRK1;OPRM1;OPRD1	CYP3A4		investigational;approved
DB00709	Lamivudine	ABCG2;ABCB1;SLC22A6;SLC22A1;SLC22A2;SLC22A3;ABCC4;ABCC1;ABCC2;ABCC3	P;pol	PCYT1A;DCK;NME2;CMPK1;NT5C;PCYT2;PGK1;NME1	ALB	investigational;approved
DB00710	Ibandronate		FDPS			investigational;approved
DB00711	Diethylcarbamazine		ALOX5;PTGS1	BCHE		investigational;approved;vet_approved
DB00712	Flurbiprofen	ABCC4;SLC22A6	PTGS2;PTGS1	CYP2C9;UGT2B7;UGT2B4;UGT1A9;UGT1A1;UGT1A3	ALB	investigational;approved
DB00713	Oxacillin	SLC15A2;SLC15A1	pbp2a;pbp3;mecA;pbp1b;penA;pbpA;SLC15A2;SLC15A1			investigational;approved
DB00714	Apomorphine		CALY;DRD4;DRD5;DRD2;DRD3;ADRA2B;ADRA2C;ADRA2A;HTR2A;HTR2C;HTR2B;HTR1D;DRD1;HTR1A;HTR1B	CYP1A2		investigational;approved
DB00715	Paroxetine	ABCB1	SLC6A2;SLC6A4;CHRM5;CHRM4;CHRM3;CHRM2;CHRM1;HTR2A	CYP2C9;CYP2C8;CYP1A2;CYP2B6;CYP2D6		investigational;approved
DB00716	Nedocromil		PTGDR;FPR1;HSP90AA1;CYSLTR2;CYSLTR1			investigational;approved
DB00717	Norethisterone	ABCB1	PGR	CYP3A7;CYP3A4;CYP3A5;CYP2C19	SHBG;ALB	approved
DB00718	Adefovir Dipivoxil	ABCC4;ABCC5;SLC22A6;SLC22A8;SLC22A3	P	AK2;NME1;NME2;AK4		investigational;approved
DB00719	Azatadine		HRH1	CYP3A4		approved
DB00720	Clodronic Acid		SLC25A6;SLC25A5;SLC25A4	PTGS2		investigational;approved;vet_approved
DB00721	Procaine		SLC6A3;KCNMA1;SCN10A;GRIN3A;MAOA;CHRNA2;HTR3A	BCHE		investigational;approved;vet_approved
DB00722	Lisinopril		ACE			investigational;approved
DB00723	Methoxamine		ADRA1A;ADRA1B;ADRA1D			investigational;approved
DB00724	Imiquimod		TLR8;TLR7	CYP1A2;CYP3A4		investigational;approved
DB00725	Homatropine Methylbromide		CHRM5;CHRM4;CHRM3;CHRM2;CHRM1			approved
DB00726	Trimipramine	ABCB1	SLC6A3;SLC6A2;ADRA1B;Htr2c;SLC6A4;ADRA1A;HTR3A;DRD2;ADRA2A;ADRA2B;DRD1;ADRB1;HTR2A;CHRM1;HTR2C;HRH1;HTR1D;HTR1A	CYP2C9;CYP3A4;CYP2C19;CYP2D6		approved
DB00727	Nitroglycerin		NPR1	ALDH2		investigational;approved
DB00728	Rocuronium	SLC22A1;SLCO1A2	CHRM2;CHRNA2;HTR3A			approved
DB00729	Diphemanil Methylsulfate		CHRM3			withdrawn;approved;vet_approved
DB00730	Thiabendazole		frdA	CYP1A1;CYP1A2		approved;vet_approved
DB00731	Nateglinide	ABCC4;SLC16A1;SLC15A2;SLC15A1;SLC22A6	PPARG;ABCC8	CYP2C9;PTGS1;CYP2D6;UGT1A9;CYP3A7;CYP3A4;CYP3A5	ALB;ORM1	investigational;approved
DB00732	Atracurium besylate		CHRNA2			approved
DB00733	Pralidoxime		ACHE;BCHE			approved;vet_approved
DB00734	Risperidone		ADRA1A;ADRA1B;DRD1;DRD4;DRD2;DRD3;ADRA2B;ADRA2A;HTR7;HTR2A;HTR2C;HRH1;HTR1D;ADRA2C;HTR1A	CYP3A7;CYP3A4;CYP3A5;CYP2D6		investigational;approved
DB00735	Naftifine		SQLE			approved
DB00736	Esomeprazole		ATP4A	CYP3A4;CYP2C19		investigational;approved
DB00737	Meclizine		NR1I3;HRH1	CYP1A2		approved
DB00738	Pentamidine		TRDMT1	CYP1A1;CYP1A2;CYP4A11;CYP2D6;CYP2C8;CYP2C19;CYP3A4;CYP3A5		investigational;approved
DB00739	Hetacillin		penA;pbp2a;pbp3;pbp1b;pbpA			withdrawn;approved;vet_approved
DB00740	Riluzole	ABCG2	SCN5A;SLC7A11	CYP1A1;CYP1A2		investigational;approved
DB00741	Hydrocortisone	ABCB1;ABCG2;SLCO1A2	ANXA1;NR3C1;HSD11B2;HSD3B1	CYP2C8;CYP11B2;CYP3A7;CYP3A4;CYP3A5;CYP11B1	SHBG;SERPINA6	approved;vet_approved
DB00742	Mannitol	ABCB1		mtlD		investigational;approved
DB00743	Gadobenic acid				ALB	investigational;approved
DB00744	Zileuton		ALOX5	CYP2C9;CYP1A2;PTGS1;CYP3A4;UGT1A9	ALB	investigational;approved;withdrawn
DB00745	Modafinil		SLC6A3;ADRA1B	CYP2C9;CYP1A2;CYP2B6;CYP2C19;CYP3A4;CYP3A5		investigational;approved
DB00746	Deferoxamine		APP	XDH		investigational;approved
DB00747	Scopolamine	ABCB1	CHRNB2;CHRM5;CHRM4;CHRM3;CHRM2;CHRM1;CHRNA4;SI			investigational;approved
DB00748	Carbinoxamine		HRH1	CYP2C9;CYP2C8;CYP2D6;CYP2B6;CYP2E1;CYP2C19;CYP3A4		approved
DB00749	Etodolac	SLC22A6	PTGS2;PTGS1;RXRA	CYP2C9;UGT2B7;UGT1A9;UGT1A10;UGT1A3	ALB	investigational;approved;vet_approved
DB00750	Prilocaine		SCN5A			approved
DB00751	Epinastine	ABCB1	ADRA1A;ADRA2A;HTR7;HTR2A;HRH1;HRH2	CYP3A4;CYP2B6;CYP2D6		investigational;approved
DB00752	Tranylcypromine		MAOB;MAOA	CYP2C9;CYP1A2;CYP2D6;CYP2E1;CYP2C19;CYP2A6;CYP3A4		investigational;approved
DB00753	Isoflurane		ATP5D;CALM1;GLRA1;GRIA1;ATP2C1;GABRA1;KCNA1	MT-ND1;CYP2B6;CYP2E1	ALB	approved;vet_approved
DB00754	Ethotoin		NR1I2;SCN5A	CYP2C19		approved
DB00755	Tretinoin	CRABP1;CRABP2	RARA;RARB;LCN1;RARG;OBP2A;NR0B1;RXRG;RXRA;RXRB;RARRES1;CYP26B1;RBP4;PDK4;HPGDS;CYP26C1;GPRC5A;ALDH1A1;ALDH1A2;CYP26A1	CYP2C9;CYP2C8;CYP4A11;CYP1A1;CYP2B6;CYP2A6;CYP3A7;CYP3A4;CYP3A5;CYP2C18	ALB	investigational;approved;nutraceutical
DB00756	Hexachlorophene		ESR1;SDHD;GLUD1;dld			approved;withdrawn
DB00757	Dolasetron		HTR3A	CYP2C9;CYP3A4;CYP2D6		investigational;approved
DB00758	Clopidogrel	ABCB1	P2RY12	CYP2C9;CYP2C8;CYP1A2;CYP2B6;CES1;CYP2C19;CYP3A4;CYP3A5		approved
DB00759	Tetracycline	SLC22A6;SLC22A7;SLC22A8;SLC22A11	rpsG;rpsC;mdfA;rpsN;PRNP;rpsH;rpsS;PADI4	CYP3A4	ALB	approved;vet_approved
DB00760	Meropenem		dacB	bla		investigational;approved
DB00761	Potassium Chloride	SLC12A5;SLC12A4;SLC12A7;SLC12A6;SLC12A1;SLC12A2	SLC12A5;SLC12A4;SLC12A7;SLC12A6;SLC12A1;SLC12A2			approved;withdrawn
DB00762	Irinotecan	ABCG2;SLCO1B1;ABCB1;SLC22A3;ABCC1;ABCC2	TOP1MT;TOP1	CYP2B6;CES1;CES2;BCHE;UGT1A9;CYP3A7;CYP3A4;CYP3A5;UGT1A1	ALB	investigational;approved
DB00763	Methimazole		TPO	CYP2C9;CYP1A2;CYP2D6;CYP2B6;CYP2E1;CYP2C19;CYP2A6;CYP3A4		approved
DB00764	Mometasone		NR3C1;PGR	CYP2C8		approved;vet_approved
DB00765	Metyrosine		TH			approved
DB00766	Clavulanate		blaZ			approved;vet_approved
DB00768	Olopatadine		S100A12;HRH1;S100A13;S100A2;S100A1;S100B	CYP3A4		approved
DB00769	Hydrocortamate		NR3C1	CYP3A4		approved
DB00770	Alprostadil	ABCC4;ABCC5;SLCO3A1;SLCO2A1;SLCO2B1	PTGDR2;PTGER1;PTGER2			investigational;approved
DB00771	Clidinium		CHRM1			approved
DB00772	Malathion		BCHE	CYP1A2;CYP2B6		investigational;approved
DB00773	Etoposide	ABCG2;ABCB1;ABCC10;ABCC6;ABCC1;ABCC2;ABCC3	TOP2B;TOP2A	CYP2C8;CYP1A2;GSTT1;PTGS2;PTGS1;CYP2E1;GSTP1;CYP3A4;CYP3A5;UGT1A1		approved
DB00774	Hydroflumethiazide		CA9;CA2;CA1;CA12;CA4;KCNMA1;SLC12A1;ATP1A1			investigational;approved
DB00775	Tirofiban		ITGA2B;ITGB3			approved
DB00776	Oxcarbazepine		SCN5A	CYP3A4;CYP3A5;CYP2C19	ALB	approved
DB00777	Propiomazine		ADRA1A;ADRA1B;ADRA1D;CHRM3;DRD4;CHRM4;DRD2;CHRM2;CHRM1;DRD1;HTR2A;HTR2C;HRH1;CHRM5			approved
DB00778	Roxithromycin		ABCB1;rplJ	CYP3A4;CYP2B6;CYP1A2		investigational;approved;withdrawn
DB00779	Nalidixic Acid	SLC22A6		TDO2		investigational;approved
DB00780	Phenelzine		AOC3;GPT2;GAD65;MAOB;MAOA;ABAT;GPT	CYP3A43;CYP2C8;CYP2E1;MAOB;MAOA;CYP2C19;CYP3A7;CYP3A4;CYP3A5		approved
DB00781	Polymyxin B Sulfate					approved;vet_approved
DB00782	Propantheline		CHRM1			approved
DB00783	Estradiol	ABCG2;SLC22A2;SLCO4A1;SLC22A3;SLCO1B3;SLC22A11;SLCO1B1;ABCB1;SLC22A1;SLCO1A2;SLCO2B1;SLC22A8;ABCC10;SLCO1C1	NCOA2;GPER1;ESRRG;ESR2;ESR1;CHRNA4;NR1I2;BECN1;MT-ATP6;HSD17B2	CYP2C9;CYP1A1;CYP1A2;CYP1B1;CYP2C8;CYP2C19;CYP3A7;CYP3A4;CYP3A5;UGT1A1	SHBG;FABP2;ALB	investigational;approved;vet_approved
DB00784	Mefenamic acid		PTGS2;PTGS1	CYP2C9;CYP2C8	ALB	approved
DB00785	Cryptenamine		CHRM5;CHRM4;CHRM3;CHRM2;CHRM1			approved
DB00786	Marimastat		MMP14;MMP15;MMP16;MMP17;MMP10;MMP11;MMP12;MMP13;MMP19;MMP23A;MMP28;MMP25;MMP24;MMP27;MMP26;MMP21;MMP20;MMP8;MMP9;MMP7;MMP2;MMP3;MMP1			investigational;approved
DB00787	Aciclovir	SLC10A2;SLC22A6;SLC22A1;SLC47A2;SLC47A1;SLC22A8	TK	CYP1A2		approved
DB00788	Naproxen	SLC22A6;SLCO1A2	PTGS2;PTGS1;pab	CYP2C9;CYP2C8;CYP1A2;UGT1A1;UGT2B7	ALB	approved;vet_approved
DB00789	Gadopentetate dimeglumine		PGD			approved
DB00790	Perindopril	SLC15A2;ABCB1;SLC15A1	SFRP4;ACE	BCHE		approved
DB00791	Uracil mustard					approved
DB00792	Tripelennamine		HRH1	CYP2D6		approved;vet_approved
DB00793	Haloprogin					approved;withdrawn
DB00794	Primidone		GRIA2;GRIK2;CHRNA4;CHRNA7;GABRA5;GABRA4;GABRA6;GABRA1;GABRA3;GABRA2	CYP2C9;CYP2C8;CYP1A2;CYP2B6;CYP2C19;CYP3A4		approved;vet_approved
DB00795	Sulfasalazine	ABCG2;ABCC2;SLC46A1	PTGS2;PTGS1;TBXAS1;ACAT1;ALOX5;CHUK;SLC7A11;IKBKB;PPARG;PLA2G1B	CYP3A5		approved
DB00796	Candesartan cilexetil	ABCB1	AGTR1	CYP2C9;CYP2C8;PTGS1;UGT1A3		approved
DB00797	Tolazoline		ADRA1A;ADRA2A;ADRA2B;ADRA2C;HRH2;HRH1			approved;vet_approved
DB00798	Gentamicin	SLC22A6	LRP2;DHFR;rpsL;nadE			approved;vet_approved
DB00799	Tazarotene		RARA;RARB;RARG;RXRB	CYP2C8		investigational;approved
DB00800	Fenoldopam		ADRA1A;ADRA1B;ADRA1D;DRD5;ADRA2A;ADRA2B;ADRA2C;DRD1			approved
DB00801	Halazepam		GABRR1;GABRG3;GABRG2;GABRG1;GABRR3;GABRP;GABRE;GABRD;GABRA5;GABRB1;GABRB2;GABRB3;GABRA1;GABRR2;GABRA3;GABRA2			illicit;approved;withdrawn
DB00802	Alfentanil	ABCB1	OPRM1	CYP3A7;CYP3A4;CYP3A5	ALB;ORM1	illicit;approved
DB00803	Colistin					approved
DB00804	Dicyclomine		CHRM2;CHRM1	CYP1A1		approved
DB00805	Minaprine		SLC6A4;DRD2;CHRM1;DRD1;MAOA;HTR2A;HTR2C;HTR2B;ACHE	CYP2D6		approved
DB00806	Pentoxifylline		ADORA2A;ADORA1;NT5E;PDE4A;PDE4B;PDE5A	CYP1A2		investigational;approved
DB00807	Proparacaine		SCN10A			approved;vet_approved
DB00808	Indapamide		KCNE1;KCNQ1	CYP3A4		approved
DB00809	Tropicamide		CHRM4;CHRM3;CHRM2;CHRM1			investigational;approved
DB00810	Biperiden	ABCB1	CHRNA2;CHRM1	CYP2D6		investigational;approved
DB00811	Ribavirin	SLC28A3;SLC29A1	PB1;ADK;L;IMPDH2;IMPDH1;ENPP1;NT5C2	ADK		approved
DB00812	Phenylbutazone	SLC22A6;SLC22A8;SLC22A11	PTGS2;PTGS1;PTGIS	CYP2C9;CYP3A4		approved;vet_approved
DB00813	Fentanyl	ABCB1	OPRK1;OPRM1;OPRD1	CYP3A7;CYP3A4;CYP3A5		illicit;investigational;approved;vet_approved
DB00814	Meloxicam	ABCC4	PTGS2;PTGS1	CYP2C9;CYP2C8;CYP3A4;PGD		approved;vet_approved
DB00815	Sodium lauryl sulfate				ALB	approved
DB00816	Orciprenaline		ADRB2			approved
DB00817	Rosoxacin		parC;gyrB			investigational;approved
DB00818	Propofol		SCN4A;GABRB2;GABRB3;GABRA1;SCN2A	CYP2C9;CYP1A1;CYP1A2;FAAH;CYP2D6;CYP2C8;CYP2B6;CYP2E1;CYP2C19;UGT1A8;UGT1A9;CYP1B1;CYP3A4;CYP2C18;UGT1A1;UGT1A6;CYP2A6	ALB	investigational;approved;vet_approved
DB00819	Acetazolamide	SLC22A6	AQP1;CA3;CA2;CA1;CA14;CA7;CA12;CA4	CYP3A4		approved;vet_approved
DB00820	Tadalafil		PDE11A;PDE5A	CYP3A4		investigational;approved
DB00821	Carprofen	SLC22A6	PTGS2;PTGS1			withdrawn;approved;vet_approved
DB00822	Disulfiram		DBH;ALDH2	CYP2C9;CYP1A2;CYP2D6;CYP2E1;CYP3A4;CYP3A5		approved
DB00823	Ethynodiol diacetate		PGR;ESR1			approved
DB00824	Enprofylline		ADORA2A;ADORA2B;ADORA1;ADORA3;PDE4A;PDE4B			investigational;approved
DB00825	Menthol		OPRK1;TRPA1;TRPM8;TRPV3			approved
DB00826	Natamycin					approved
DB00827	Cinoxacin	SLC22A6	gyrA			investigational;approved;withdrawn
DB00828	Fosfomycin		murA			approved
DB00829	Diazepam	ABCB1	GABRR1;GABRG3;GABRG2;GABRG1;GABRR3;GABRQ;GABRP;GABRE;TSPO;GABRD;GABRA5;GABRB1;GABRB2;GABRB3;GABRA1;GABRR2;GABRA3;GABRA2	CYP2C9;CYP2C8;CYP1A2;CYP2B6;PTGS1;CYP2E1;CYP2C19;CYP2C18;CYP3A7;CYP3A4;CYP3A5	ALB	illicit;investigational;approved;vet_approved
DB00830	Phenmetrazine		SLC6A3;SLC6A2			illicit;approved
DB00831	Trifluoperazine	ABCB1	ADRA1A;CALY;CALM1;DRD2;TNNC1;S100A4	UGT1A4;CYP1A2;XDH		investigational;approved
DB00832	Phensuximide			CYP2C19		approved
DB00833	Cefaclor	SLC15A2;SLC15A1	pbp3;pbpA	MPO		approved
DB00834	Mifepristone	ABCB1;ABCC1	NR1I2;NR3C1;KLK3;PGR	CYP3A7;CYP3A4;CYP3A5;CYP1A2;CYP2D6		investigational;approved
DB00835	Brompheniramine		CHRM5;CHRM4;CHRM3;CHRM2;CHRM1;HRH1	CYP2C9;CYP2C8;CYP2D6;CYP2B6;CYP2E1;CYP2C19;CYP3A4		approved
DB00836	Loperamide	ABCB1	CALM1;CACNA1A;NR1I3;OPRM1;OPRD1;POMC;OPRK1	CYP2C8;CYP3A4;CYP2B6;CYP2D6		approved
DB00837	Progabide		GABBR1;GABRA1			investigational;approved
DB00838	Clocortolone		NR3C1			approved
DB00839	Tolazamide		ABCC8			investigational;approved
DB00840	Hydroxypropyl cellulose					approved
DB00841	Dobutamine		ADRB1;ADRB2;ADRA2A;ESR1	COMT		approved
DB00842	Oxazepam		GABRR1;GABRB3;GABRG3;GABRG2;GABRG1;GABRR3;GABRQ;GABRP;GABRD;GABRE;GABRB1;GABRA5;GABRA4;GABRB2;GABRA6;GABRA1;GABRR2;GABRA3;GABRA2	CYP3A43;UGT2B7;UGT2B15;UGT1A9;CYP3A7;CYP3A4;CYP3A5		approved
DB00843	Donepezil		ACHE;HTR2A	CYP2C9;CYP3A4;CYP2D6		approved
DB00844	Nalbuphine		OPRK1;OPRM1;OPRD1			approved
DB00845	Clofazimine	ABCB11;ABCB1	ABCB11	CYP3A4		investigational;approved
DB00846	Flurandrenolide		NR3C1		SERPINA6	approved
DB00847	Cysteamine		SST;NPY2R	MPO		investigational;approved
DB00848	Levamisole		lev-1;unc-29;unc-38;unc-63;CHRNA3;ALPPL2			investigational;withdrawn;approved;vet_approved
DB00849	Methylphenobarbital		GRIA2;GRIK2;CHRNA4;NR1I2;CHRNA7;GABRA5;GABRA4;GABRA6;GABRA1;GABRA3;GABRA2	CYP2B6;CYP2C19		approved
DB00850	Perphenazine		CALM1;DRD2;DRD1	CYP2C9;CYP2C8;CYP1A2;CYP2D6;CYP2B6;CYP2C19;CYP2C18;CYP3A4		approved
DB00851	Dacarbazine		POLA2;PGD	CYP1A1;CYP1A2;CYP2E1		investigational;approved
DB00852	Pseudoephedrine		SLC6A3;SLC6A2;SLC6A4;ADRA1A;ADRA2A;ADRB1;ADRB2;TNF;IL2;NFATC1;ATF1	MAOA;CYP2D6		approved
DB00853	Temozolomide			CYP3A4		investigational;approved
DB00854	Levorphanol		OPRK1;OPRM1;OPRD1			approved
DB00855	Aminolevulinic acid	SLC15A2;SLC15A1	ALAD			approved
DB00856	Chlorphenesin			PTGS2;CYP19A1;XDH;CYP2B;BCHE;CYP3A4		withdrawn;approved;vet_approved
DB00857	Terbinafine		SQLE	CYP2C9;CYP2C8;CYP1A2;CYP11A1;CYP2D6;CYP19A1;PTGS1;CYP2C19;CYP3A4		investigational;approved;vet_approved
DB00858	Drostanolone		AR	CYP19A1	SHBG	illicit;approved
DB00859	Penicillamine	SLCO1B1				approved
DB00860	Prednisolone	ABCB1;SLCO1A2	NR3C1	CYP3A4;CYP2A6	SERPINA6	approved;vet_approved
DB00861	Diflunisal	SLC22A6	PTGS2;PTGS1	UGT1A8	TTR;ALB	investigational;approved
DB00862	Vardenafil		PDE6H;PDE6G;PDE5A	CYP3A4;CYP3A5		approved
DB00863	Ranitidine	ABCB1;SLC22A8;SLC22A1	ACHE;BCHE;HRH2	CYP1A2;CYP3A5;CYP2C19;CYP3A4;CYP2D6		approved
DB00864	Tacrolimus	ABCB1;ABCA5	FKBP1A	CYP3A7;CYP3A4;CYP3A5	ALB;ORM1	investigational;approved
DB00865	Benzphetamine		ADRA1A;SLC18A2;ADRA2A;SLC6A3	POR;CYP3A4;CYP2B6		illicit;approved
DB00866	Alprenolol		ADRB1;ADRB2;ADRB3;HTR1A	CYP2D6		approved;withdrawn
DB00867	Ritodrine		ADRB2	PGD		investigational;approved
DB00868	Benzonatate		SCN5A			approved
DB00869	Dorzolamide		CA3;CA2;CA1;CA4	CYP2C9;CYP3A4		approved
DB00870	Suprofen		PTGS2;PTGS1	CYP2C9;UGT2B7;UGT1A1		approved;withdrawn
DB00871	Terbutaline		ADRB1;ADRB2;ADRB3	BCHE		approved
DB00872	Conivaptan		AVPR2;AVPR1A	CYP3A4		investigational;approved
DB00873	Loteprednol		NR3C1			approved
DB00874	Guaifenesin					investigational;approved;vet_approved
DB00875	Flupentixol	ABCB1	ADRA1A;HTR2A;DRD2;CHRM1;DRD1	DDC		investigational;approved;withdrawn
DB00876	Eprosartan	ABCC2	AGTR1	CYP2C9		approved
DB00877	Sirolimus	SLCO1B1;ABCB1;SLC47A1	MTOR;FGF2;FKBP1A	CYP3A7;CYP3A4;CYP3A5		investigational;approved
DB00878	Chlorhexidine			HNMT;cat		approved;vet_approved
DB00879	Emtricitabine		pol	DCK	ALB	investigational;approved
DB00880	Chlorothiazide	SLC22A6	CA2;CA1;SLC12A3;CA4			approved;vet_approved
DB00881	Quinapril	SLC15A2;SLC15A1	ACE			investigational;approved
DB00882	Clomifene	ABCB1	SHBG;ESR1	CYP1A1;CYP1A2;CYP11A1;CYP19A1;CYP2E1;CYP2A6;CYP3A4		investigational;approved
DB00883	Isosorbide Dinitrate		NPR1	CYP3A4;CYP2E1		investigational;approved
DB00884	Risedronate		FDPS	PTGS2		investigational;approved
DB00885	Pemirolast					investigational;approved
