Gene,Gene ID,drugs,ID,ADME
CRABP1,1381,"Alitretinoin,Tretinoin","DB00523,DB00755",True
CRABP2,1382,"Alitretinoin,Tretinoin","DB00523,DB00755",True
CRAT,1384,L-Carnitine,DB00583,
CRBN,51185,"Lenalidomide,Thalidomide,Pomalidomide","DB00480,DB01041,DB08910",
CREB1,1385,Naloxone,DB01183,
CROT,54677,L-Carnitine,DB00583,
CRYZ,1429,"Dicoumarol,Cannabidiol","DB00266,DB09061",True
CS,1431,Citric Acid,DB04272,
CSAD,51380,Pyridoxal Phosphate,DB00114,
CSF1R,1436,"Imatinib,Sunitinib","DB00619,DB01268",
CSK,1445,Dasatinib,DB01254,
CSNK2A1,1457,Resveratrol,DB02709,
CTAC,NaN,Deoxycholic Acid,DB03619,
CTAD,NaN,Deoxycholic Acid,DB03619,
CTDSP1,58190,Citric Acid,DB04272,
CTH,1491,Pyridoxal Phosphate,DB00114,
CTSA,5476,"Deoxycholic Acid,Sofosbuvir","DB03619,DB08934",True
CTSD,1509,"Insulin Human,Insulin Pork","DB00030,DB00071",
CUL9,23113,"Grepafloxacin,Enoxacin,Pefloxacin,Ciprofloxacin,Lomefloxacin,Norfloxacin,Levofloxacin,Ofloxacin,Sparfloxacin,Delafloxacin","DB00365,DB00467,DB00487,DB00537,DB00978,DB01059,DB01137,DB01165,DB01208,DB11943",
CUMD,NaN,Benzoic Acid,DB03793,
CXCR1,3577,Ketoprofen,DB01009,
CYB5R3,1727,NADH,DB00157,
CYBB,1536,Dextromethorphan,DB00514,
CYCS,54205,Minocycline,DB01017,
CYP11A1,1583,"Clotrimazole,Omeprazole,Aminoglutethimide,Digoxin,Testosterone,Terbinafine,Clomifene,Dinoprostone,Ketoconazole,Saquinavir,Dexamethasone,Digitoxin,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate","DB00257,DB00338,DB00357,DB00390,DB00624,DB00857,DB00882,DB00917,DB01026,DB01232,DB01234,DB01396,DB13943,DB13944,DB13946",True
CYP11B1,1584,"Fluconazole,Phenytoin,Clotrimazole,Spironolactone,Cimetidine,Mitotane,Hydrocortisone,Ketoconazole,Miconazole,Metoclopramide","DB00196,DB00252,DB00257,DB00421,DB00501,DB00648,DB00741,DB01026,DB01110,DB01233",True
CYP11B2,1585,"Spironolactone,Eplerenone,Hydrocortisone,Metoclopramide","DB00421,DB00700,DB00741,DB01233",True
CYP17A1,1586,"NADH,Progesterone,Metoclopramide,Dexamethasone,Abiraterone,Cannabidiol","DB00157,DB00396,DB01233,DB01234,DB05812,DB09061",True
CYP19A1,1588,"Trastuzumab,Nicotine,Diethylstilbestrol,Clotrimazole,Methadone,Aminoglutethimide,Mefloquine,Levonorgestrel,Carbimazole,Betamethasone,Raloxifene,Testosterone,Estrone,Tamoxifen,Terbinafine,Drostanolone,Clomifene,Testolactone,Dinoprostone,Nandrolone phenpropionate,Exemestane,Letrozole,Tioconazole,Ketoconazole,Melatonin,Miconazole,Econazole,Anastrozole,Levomethadyl Acetate,Paclitaxel,Dexamethasone,Danazol,Bifonazole,Cyproterone acetate,Methyltestosterone,Buserelin,Nandrolone decanoate,Norgestrel,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate","DB00072,DB00184,DB00255,DB00257,DB00333,DB00357,DB00358,DB00367,DB00389,DB00443,DB00481,DB00624,DB00655,DB00675,DB00857,DB00858,DB00882,DB00894,DB00917,DB00984,DB00990,DB01006,DB01007,DB01026,DB01065,DB01110,DB01127,DB01217,DB01227,DB01229,DB01234,DB01406,DB04794,DB04839,DB06710,DB06719,DB08804,DB09389,DB13943,DB13944,DB13946",True
CYP1A1,1543,"Fluvoxamine,Nicotine,Caffeine,Sildenafil,Theophylline,Acetaminophen,Gefitinib,Omeprazole,Chlorzoxazone,Clozapine,Amlodipine,Progesterone,Streptozocin,Lansoprazole,Prazosin,Quinine,Dronabinol,Flutamide,Haloperidol,Albendazole,Erlotinib,Toremifene,Cinnarizine,Propranolol,Clonidine,Diclofenac,Sulindac,Chloroquine,Testosterone,Dexmedetomidine,Clofibrate,Mebendazole,Estrone,Tamoxifen,Warfarin,Daunorubicin,Thiabendazole,Riluzole,Tretinoin,Estradiol,Dicyclomine,Propofol,Clomifene,Granisetron,Ethanol,Quinidine,Azelastine,Clobetasol propionate,Ketoconazole,Thalidomide,Norfloxacin,Isoprenaline,Melatonin,Primaquine,Ouabain,Fluvastatin,Nifedipine,Amiodarone,Rabeprazole,Carvedilol,Itraconazole,Arsenic trioxide,Phenobarbital,Dexamethasone,Dasatinib,Bezafibrate,Clenbuterol,Topiroxostat,Resveratrol,Debrisoquin,Flunarizine,Lorcaserin,Romidepsin,Dapagliflozin,Perospirone,Riociguat,Cannabidiol,Manidipine,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00176,DB00184,DB00201,DB00203,DB00277,DB00316,DB00317,DB00338,DB00356,DB00363,DB00381,DB00396,DB00428,DB00448,DB00457,DB00468,DB00470,DB00499,DB00502,DB00518,DB00530,DB00539,DB00568,DB00571,DB00575,DB00586,DB00605,DB00608,DB00624,DB00633,DB00636,DB00643,DB00655,DB00675,DB00682,DB00694,DB00730,DB00740,DB00755,DB00783,DB00804,DB00818,DB00882,DB00889,DB00898,DB00908,DB00972,DB01013,DB01026,DB01041,DB01059,DB01064,DB01065,DB01087,DB01092,DB01095,DB01115,DB01118,DB01129,DB01136,DB01167,DB01169,DB01174,DB01234,DB01254,DB01393,DB01407,DB01685,DB02709,DB04840,DB04841,DB04871,DB06176,DB06292,DB08922,DB08931,DB09061,DB09238,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",True
CYP1A2,1544,"Peginterferon alfa-2a,Peginterferon alfa-2b,Insulin Human,Interferon gamma-1b,Insulin Lispro,Insulin Glargine,Insulin Pork,Interferon Alfa-2b Recombinant,Fluvoxamine,Nicotine,Bortezomib,Phentermine,Betaxolol,Fluconazole,Erythromycin,Caffeine,Azithromycin,Pantoprazole,Citalopram,Nelfinavir,Nevirapine,Ziprasidone,Clotrimazole,Anagrelide,Carmustine,Ropinirole,Theophylline,Lidocaine,Conjugated estrogens,Ropivacaine,Bupivacaine,Tenofovir disoproxil,Valproic Acid,Zolmitriptan,Acetaminophen,Amitriptyline,Methadone,Olanzapine,Omeprazole,Chlorzoxazone,Aminoglutethimide,Clozapine,Grepafloxacin,Norepinephrine,Mirtazapine,Palonosetron,Mexiletine,Amlodipine,Triamterene,Phenylephrine,Carbimazole,Progesterone,Phenylpropanolamine,Sorafenib,Griseofulvin,Nisoldipine,Rosiglitazone,Secobarbital,Promazine,Streptozocin,Lansoprazole,Imipramine,Nabumetone,Enoxacin,Quinine,Fluoxetine,Duloxetine,Chlorpromazine,Pefloxacin,Flutamide,Cimetidine,Haloperidol,Ritonavir,Albendazole,Alitretinoin,Erlotinib,Rofecoxib,Ciprofloxacin,Toremifene,Nortriptyline,Fluorouracil,Zafirlukast,Carbamazepine,Cinnarizine,Propranolol,Atropine,Clonidine,Valaciclovir,Diclofenac,Cisapride,Sulindac,Nafcillin,Rifabutin,Imatinib,Fluphenazine,Efavirenz,Guanabenz,Dexmedetomidine,Estrone,Verapamil,Epinephrine,Aprepitant,Tamoxifen,Losartan,Thioridazine,Warfarin,Daunorubicin,Ergotamine,Tizanidine,Delavirdine,Apomorphine,Paroxetine,Imiquimod,Thiabendazole,Meclizine,Riluzole,Zileuton,Modafinil,Tranylcypromine,Clopidogrel,Methimazole,Malathion,Etoposide,Roxithromycin,Estradiol,Naproxen,Pentoxifylline,Propofol,Disulfiram,Diazepam,Trifluoperazine,Mifepristone,Perphenazine,Terbinafine,Ranitidine,Clomifene,Ethanol,Ondansetron,Quinidine,Dinoprostone,Almotriptan,Buprenorphine,Cyclobenzaprine,Maprotiline,Isoniazid,Rizatriptan,Desloratadine,Alosetron,Azelastine,Lomefloxacin,Ramelteon,Dopamine,Frovatriptan,Levobupivacaine,Tioconazole,Cinacalcet,Clobetasol propionate,Ketoconazole,Methoxyflurane,Selegiline,Thalidomide,Rifampicin,Tocainide,Norfloxacin,Melatonin,Atazanavir,Diphenhydramine,Tegaserod,Primaquine,Hesperetin,Fluvastatin,Leflunomide,Pimozide,Sertraline,Miconazole,Nifedipine,Amiodarone,Rabeprazole,Carvedilol,Levofloxacin,Doxepin,Nefazodone,Desipramine,Bupropion,Ofloxacin,Orphenadrine,Phenobarbital,Propafenone,Domperidone,Dexfenfluramine,Bromocriptine,Clarithromycin,Anastrozole,Aminophylline,Gemfibrozil,Clomipramine,Dasatinib,Lumiracoxib,Oxtriphylline,Insulin Aspart,Insulin Detemir,Insulin Glulisine,Mestranol,Rasagiline,Methotrimeprazine,Clenbuterol,Theobromine,Acenocoumarol,Antipyrine,Bromazepam,Lopinavir,Pipotiazine,Thiothixene,Etoricoxib,Topiroxostat,Resveratrol,Estrone sulfate,Flunarizine,Lorcaserin,Clevidipine,Iloperidone,Belinostat,Crisaborole,Rotigotine,Abiraterone,Mianserin,Asenapine,Dapagliflozin,Oxymetholone,Armodafinil,Pazopanib,Agomelatine,Midostaurin,Apixaban,Axitinib,Capsaicin,Phenylbutyric acid,Rilpivirine,Ulipristal,Vemurafenib,Pomalidomide,Cannabidiol,Zucapsaicin,Dosulepin,Lobeglitazone,Zotepine,Manidipine,Synthetic Conjugated Estrogens A,Osimertinib,Pitolisant,Diacerein,Voxilaprevir,Rucaparib,Enasidenib,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00008,DB00022,DB00030,DB00033,DB00046,DB00047,DB00071,DB00105,DB00176,DB00184,DB00188,DB00191,DB00195,DB00196,DB00199,DB00201,DB00207,DB00213,DB00215,DB00220,DB00238,DB00246,DB00257,DB00261,DB00262,DB00268,DB00277,DB00281,DB00286,DB00296,DB00297,DB00300,DB00313,DB00315,DB00316,DB00321,DB00333,DB00334,DB00338,DB00356,DB00357,DB00363,DB00365,DB00368,DB00370,DB00377,DB00379,DB00381,DB00384,DB00388,DB00389,DB00396,DB00397,DB00398,DB00400,DB00401,DB00412,DB00418,DB00420,DB00428,DB00448,DB00458,DB00461,DB00467,DB00468,DB00472,DB00476,DB00477,DB00487,DB00499,DB00501,DB00502,DB00503,DB00518,DB00523,DB00530,DB00533,DB00537,DB00539,DB00540,DB00544,DB00549,DB00564,DB00568,DB00571,DB00572,DB00575,DB00577,DB00586,DB00604,DB00605,DB00607,DB00615,DB00619,DB00623,DB00625,DB00629,DB00633,DB00655,DB00661,DB00668,DB00673,DB00675,DB00678,DB00679,DB00682,DB00694,DB00696,DB00697,DB00705,DB00714,DB00715,DB00724,DB00730,DB00737,DB00740,DB00744,DB00745,DB00752,DB00758,DB00763,DB00772,DB00773,DB00778,DB00783,DB00788,DB00806,DB00818,DB00822,DB00829,DB00831,DB00834,DB00850,DB00857,DB00863,DB00882,DB00898,DB00904,DB00908,DB00917,DB00918,DB00921,DB00924,DB00934,DB00951,DB00953,DB00967,DB00969,DB00972,DB00978,DB00980,DB00988,DB00998,DB01002,DB01007,DB01012,DB01013,DB01026,DB01028,DB01037,DB01041,DB01045,DB01056,DB01059,DB01065,DB01072,DB01075,DB01079,DB01087,DB01094,DB01095,DB01097,DB01100,DB01104,DB01110,DB01115,DB01118,DB01129,DB01136,DB01137,DB01142,DB01149,DB01151,DB01156,DB01165,DB01173,DB01174,DB01182,DB01184,DB01191,DB01200,DB01211,DB01217,DB01223,DB01241,DB01242,DB01254,DB01283,DB01303,DB01306,DB01307,DB01309,DB01357,DB01367,DB01403,DB01407,DB01412,DB01418,DB01435,DB01558,DB01601,DB01621,DB01623,DB01628,DB01685,DB02709,DB04574,DB04841,DB04871,DB04920,DB04946,DB05015,DB05219,DB05271,DB05812,DB06148,DB06216,DB06292,DB06412,DB06413,DB06589,DB06594,DB06595,DB06605,DB06626,DB06774,DB06819,DB08864,DB08867,DB08881,DB08910,DB09061,DB09120,DB09167,DB09198,DB09225,DB09238,DB09317,DB09330,DB11642,DB11994,DB12026,DB12332,DB13874,DB13952,DB13953,DB13954,DB13955,DB13956",True
CYP1B1,1545,"Caffeine,Theophylline,Omeprazole,Clozapine,Progesterone,Lansoprazole,Flutamide,Erlotinib,Testosterone,Estrone,Tamoxifen,Daunorubicin,Estradiol,Propofol,Doxorubicin,Ketoconazole,Melatonin,Primaquine,Arsenic trioxide,Phenobarbital,Mitoxantrone,Paclitaxel,Dexamethasone,Docetaxel,Dasatinib,Resveratrol,Cannabidiol,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00201,DB00277,DB00338,DB00363,DB00396,DB00448,DB00499,DB00530,DB00624,DB00655,DB00675,DB00694,DB00783,DB00818,DB00997,DB01026,DB01065,DB01087,DB01169,DB01174,DB01204,DB01229,DB01234,DB01248,DB01254,DB02709,DB09061,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",True
CYP21A2,1589,Ketoconazole,DB01026,
CYP26A1,1592,"Tretinoin,Ketoconazole","DB00755,DB01026",True
CYP26B1,56603,Tretinoin,DB00755,
CYP26C1,340665,"Alitretinoin,Tretinoin","DB00523,DB00755",
CYP2A13,1553,"Nicotine,Testosterone,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate","DB00184,DB00624,DB13943,DB13944,DB13946",True
CYP2A6,1548,"Amphetamine,Nicotine,Azithromycin,Eletriptan,Nevirapine,Diethylstilbestrol,Clotrimazole,Lidocaine,Pentobarbital,Valproic Acid,Acetaminophen,Chlorzoxazone,Clozapine,Amlodipine,Progesterone,Rosiglitazone,Dronabinol,Montelukast,Zidovudine,Cyclophosphamide,Fluorouracil,Cinnarizine,Cisapride,Clofibrate,Tamoxifen,Flurazepam,Tranylcypromine,Tretinoin,Methimazole,Propofol,Prednisolone,Clomifene,Buprenorphine,Isoniazid,Azelastine,Formoterol,Letrozole,Ketoconazole,Methoxyflurane,Selegiline,Memantine,Rifampicin,Norfloxacin,Pilocarpine,Miconazole,Nifedipine,Amiodarone,Desipramine,Bupropion,Halothane,Phenobarbital,Ifosfamide,Dexfenfluramine,Fomepizole,Dexamethasone,Sevoflurane,Arformoterol,Antipyrine,Flunarizine,Lorcaserin,Ezogabine,Dapagliflozin,Sulfaphenazole,Seratrodast,Vortioxetine,Troleandomycin","DB00182,DB00184,DB00207,DB00216,DB00238,DB00255,DB00257,DB00281,DB00312,DB00313,DB00316,DB00356,DB00363,DB00381,DB00396,DB00412,DB00470,DB00471,DB00495,DB00531,DB00544,DB00568,DB00604,DB00636,DB00675,DB00690,DB00752,DB00755,DB00763,DB00818,DB00860,DB00882,DB00921,DB00951,DB00972,DB00983,DB01006,DB01026,DB01028,DB01037,DB01043,DB01045,DB01059,DB01085,DB01110,DB01115,DB01118,DB01151,DB01156,DB01159,DB01174,DB01181,DB01191,DB01213,DB01234,DB01236,DB01274,DB01435,DB04841,DB04871,DB04953,DB06292,DB06729,DB06739,DB09068,DB13179",True
CYP2A7,1549,"Doxylamine,Fluoxetine,Sertraline,Nefazodone","DB00366,DB00472,DB01104,DB01149",True
CYP2B6,1555,"Fluvoxamine,Nicotine,Tramadol,Erythromycin,Citalopram,Nelfinavir,Nevirapine,Phenytoin,Clotrimazole,Lidocaine,Venlafaxine,Ropivacaine,Valproic Acid,Amitriptyline,Methadone,Clobazam,Mexiletine,Amlodipine,Sorafenib,Cerivastatin,Pethidine,Imipramine,Fluoxetine,Raloxifene,Ritonavir,Dextromethorphan,Cisplatin,Cyclophosphamide,Carbamazepine,Cinnarizine,Diclofenac,Cisapride,Nicardipine,Testosterone,Efavirenz,Clofibrate,Simvastatin,Estrone,Verapamil,Tamoxifen,Midazolam,Amprenavir,Paroxetine,Modafinil,Carbinoxamine,Epinastine,Isoflurane,Tretinoin,Clopidogrel,Irinotecan,Methimazole,Malathion,Roxithromycin,Propofol,Diazepam,Brompheniramine,Loperamide,Perphenazine,Benzphetamine,Ethanol,Quinidine,Azelastine,Doxorubicin,Ketoconazole,Methoxyflurane,Selegiline,Memantine,Rifampicin,Promethazine,Perhexiline,Diphenhydramine,Atorvastatin,Fluvastatin,Sertraline,Miconazole,Nifedipine,Sulfinpyrazone,Desipramine,Bupropion,Halothane,Itraconazole,Orphenadrine,Phenobarbital,Ifosfamide,Domperidone,Ketamine,Dexamethasone,Sevoflurane,Fosphenytoin,Colchicine,Antipyrine,Ethylmorphine,Clotiazepam,Lopinavir,Bifonazole,Metamizole,Flunarizine,Nilotinib,Lorcaserin,Permethrin,Ospemifene,Crisaborole,Brivaracetam,Mianserin,Romidepsin,Prasugrel,Armodafinil,Midostaurin,Methyltestosterone,Sulfaphenazole,Ketobemidone,Seratrodast,Rilpivirine,Crizotinib,Regorafenib,Enzalutamide,Vortioxetine,Olaparib,Manidipine,Lumacaftor,Isavuconazole,Pitolisant,Letermovir,Enasidenib,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate","DB00176,DB00184,DB00193,DB00199,DB00215,DB00220,DB00238,DB00252,DB00257,DB00281,DB00285,DB00296,DB00313,DB00321,DB00333,DB00349,DB00379,DB00381,DB00398,DB00439,DB00454,DB00458,DB00472,DB00481,DB00503,DB00514,DB00515,DB00531,DB00564,DB00568,DB00586,DB00604,DB00622,DB00624,DB00625,DB00636,DB00641,DB00655,DB00661,DB00675,DB00683,DB00701,DB00715,DB00745,DB00748,DB00751,DB00753,DB00755,DB00758,DB00762,DB00763,DB00772,DB00778,DB00818,DB00829,DB00835,DB00836,DB00850,DB00865,DB00898,DB00908,DB00972,DB00997,DB01026,DB01028,DB01037,DB01043,DB01045,DB01069,DB01074,DB01075,DB01076,DB01095,DB01104,DB01110,DB01115,DB01138,DB01151,DB01156,DB01159,DB01167,DB01173,DB01174,DB01181,DB01184,DB01221,DB01234,DB01236,DB01320,DB01394,DB01435,DB01466,DB01559,DB01601,DB04794,DB04817,DB04841,DB04868,DB04871,DB04930,DB04938,DB05219,DB05541,DB06148,DB06176,DB06209,DB06413,DB06595,DB06710,DB06729,DB06738,DB06739,DB08864,DB08865,DB08896,DB08899,DB09068,DB09074,DB09238,DB09280,DB11633,DB11642,DB12070,DB13874,DB13943,DB13944,DB13946",True
CYP2C18,1562,"Phenytoin,Lidocaine,Valproic Acid,Methadone,Omeprazole,Clobazam,Lansoprazole,Imipramine,Cyclophosphamide,Diclofenac,Verapamil,Warfarin,Tretinoin,Propofol,Diazepam,Perphenazine,Buprenorphine,Diphenhydramine,Tolbutamide,Desipramine,Phenobarbital,Ifosfamide,Antipyrine,Clotiazepam,Vilazodone,Etizolam,Troleandomycin","DB00252,DB00281,DB00313,DB00333,DB00338,DB00349,DB00448,DB00458,DB00531,DB00586,DB00661,DB00682,DB00755,DB00818,DB00829,DB00850,DB00921,DB01075,DB01124,DB01151,DB01174,DB01181,DB01435,DB01559,DB06684,DB09166,DB13179",True
CYP2C19,1557,"Cyclosporine,Fluvoxamine,Nicotine,Bortezomib,Fluconazole,Sildenafil,Pantoprazole,Citalopram,Eletriptan,Nelfinavir,Indinavir,Lovastatin,Oxiconazole,Benzatropine,Phenytoin,Clotrimazole,Metoprolol,Venlafaxine,Atomoxetine,Bupivacaine,Pentobarbital,Valproic Acid,Gefitinib,Amitriptyline,Indomethacin,Methadone,Olanzapine,Omeprazole,Diltiazem,Trimethadione,Clobazam,Aminoglutethimide,Clozapine,Meprobamate,Timolol,Progesterone,Sorafenib,Rosiglitazone,Promazine,Cerivastatin,Teniposide,Chloramphenicol,Lansoprazole,Pethidine,Loratadine,Imipramine,Quinine,Dronabinol,Fluoxetine,Zidovudine,Flutamide,Cimetidine,Haloperidol,Ritonavir,Dextromethorphan,Cyclophosphamide,Nortriptyline,Zafirlukast,Carbamazepine,Propranolol,Valdecoxib,Diclofenac,Doxazosin,Cisapride,Imatinib,Nicardipine,Testosterone,Efavirenz,Prednisone,Simvastatin,Verapamil,Nilutamide,Chlorpropamide,Aprepitant,Tamoxifen,Losartan,Thioridazine,Warfarin,Amprenavir,Methazolamide,Delavirdine,Norethisterone,Trimipramine,Modafinil,Carbinoxamine,Tranylcypromine,Clopidogrel,Methimazole,Oxcarbazepine,Estradiol,Propofol,Diazepam,Brompheniramine,Perphenazine,Terbinafine,Ranitidine,Ethanol,Zonisamide,Almotriptan,Buprenorphine,Famotidine,Tipranavir,Acetylsalicylic acid,Felbamate,Isoniazid,Telmisartan,Desloratadine,Azelastine,Ramelteon,Formoterol,Dopamine,Tioconazole,Glyburide,Guanfacine,Ketoconazole,Probenecid,Tolterodine,Selegiline,Thalidomide,Memantine,Rifampicin,Ibuprofen,Amoxicillin,Melatonin,Diphenhydramine,Atorvastatin,Fluvastatin,Rosuvastatin,Pimozide,Sertraline,Miconazole,Amiodarone,Gliclazide,Tolbutamide,Bicalutamide,Rabeprazole,Pioglitazone,Doxepin,Desipramine,Phenobarbital,Escitalopram,Ifosfamide,Dexfenfluramine,Clarithromycin,Quetiapine,Saquinavir,Dexamethasone,Gemfibrozil,Clomipramine,Lapatinib,Arformoterol,Lumiracoxib,Fosphenytoin,Acenocoumarol,Antipyrine,Bromazepam,Clotiazepam,Lopinavir,Pipotiazine,Etoricoxib,Topiroxostat,Bifonazole,Lorcaserin,Clevidipine,Ospemifene,Brivaracetam,Abiraterone,Romidepsin,Tapentadol,Prasugrel,Sitaxentan,Ambrisentan,Oxymetholone,Armodafinil,Etravirine,Midostaurin,Apixaban,Axitinib,Ketobemidone,Seratrodast,Hydroxyprogesterone caproate,Vismodegib,Rilpivirine,Tofacitinib,Regorafenib,Enzalutamide,Levomilnacipran,Macitentan,Luliconazole,Naloxegol,Cannabidiol,Vortioxetine,Zucapsaicin,Etizolam,Dosulepin,Lobeglitazone,Manidipine,Lumacaftor,Rupatadine,Isavuconazole,Apalutamide,Letermovir,Rucaparib,Troleandomycin,Enasidenib,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00091,DB00176,DB00184,DB00188,DB00196,DB00203,DB00213,DB00215,DB00216,DB00220,DB00224,DB00227,DB00239,DB00245,DB00252,DB00257,DB00264,DB00285,DB00289,DB00297,DB00312,DB00313,DB00317,DB00321,DB00328,DB00333,DB00334,DB00338,DB00343,DB00347,DB00349,DB00357,DB00363,DB00371,DB00373,DB00396,DB00398,DB00412,DB00420,DB00439,DB00444,DB00446,DB00448,DB00454,DB00455,DB00458,DB00468,DB00470,DB00472,DB00495,DB00499,DB00501,DB00502,DB00503,DB00514,DB00531,DB00540,DB00549,DB00564,DB00571,DB00580,DB00586,DB00590,DB00604,DB00619,DB00622,DB00624,DB00625,DB00635,DB00641,DB00661,DB00665,DB00672,DB00673,DB00675,DB00678,DB00679,DB00682,DB00701,DB00703,DB00705,DB00717,DB00726,DB00745,DB00748,DB00752,DB00758,DB00763,DB00776,DB00783,DB00818,DB00829,DB00835,DB00850,DB00857,DB00863,DB00898,DB00909,DB00918,DB00921,DB00927,DB00932,DB00945,DB00949,DB00951,DB00966,DB00967,DB00972,DB00980,DB00983,DB00988,DB01007,DB01016,DB01018,DB01026,DB01032,DB01036,DB01037,DB01041,DB01043,DB01045,DB01050,DB01060,DB01065,DB01075,DB01076,DB01095,DB01098,DB01100,DB01104,DB01110,DB01118,DB01120,DB01124,DB01128,DB01129,DB01132,DB01142,DB01151,DB01174,DB01175,DB01181,DB01191,DB01211,DB01224,DB01232,DB01234,DB01241,DB01242,DB01259,DB01274,DB01283,DB01320,DB01418,DB01435,DB01558,DB01559,DB01601,DB01621,DB01628,DB01685,DB04794,DB04871,DB04920,DB04938,DB05541,DB05812,DB06176,DB06204,DB06209,DB06268,DB06403,DB06412,DB06413,DB06414,DB06595,DB06605,DB06626,DB06738,DB06739,DB06789,DB08828,DB08864,DB08895,DB08896,DB08899,DB08918,DB08932,DB08933,DB09049,DB09061,DB09068,DB09120,DB09166,DB09167,DB09198,DB09238,DB09280,DB11614,DB11633,DB11901,DB12070,DB12332,DB13179,DB13874,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",True
